Value1,Value2,Value3,Value4,Value5,Value6,Value7,Value8,Value9,Value10,Value11,Value12,Value13,Value14,Value15,Value16,Value17,Value18,Value19,Value20,Value21,Value22,Value23,Value24,Value25,Value26,Value27,Value28,Value29,Value30,Value31,Value32,Value33,Value34,Value35,Value36,Value37,Value38,Value39,Value40,Value41,Value42,Value43,Value44,Value45,Value46,AMOUNT,Value48,Value49,Value50,Value51,Value52,Value53,Value54,Value55,Value56,Value57,Value58,Value59,Value60,Value61,Value62,Value63,Value64,Value65,FRAUDFLAG
69376,0,138,0,0,99,0,1,1,7561.69,-93558.62,768000,-101120.31,-3742.35,-3742.35,0,0,-7561.69,-7561.69,0,0,0,0,0,0,0,0,0,0,0,0,2662,946,1,59618534,13766,10682,838,406,244,201,6086,3425,7.78E+15,100,14,-1361.89,0,388,388,1361.89,5912,163279352,4203,3425,138,141,159,156,593,1,2048,1,1.15E+18,0,-1
1.91E+11,0,166,0,0,99,0,1,,456378.34,-300476.62,400000,-7854.96,-12019.07,0,0,374500,-81878.34,-81878.34,0,0,0,0,0,0,0,0,0,0,0,0,468996,766,18,59332240,13766,10684,1012,484,13158,2204,1150576,702039,4.24E+15,100,38.59,-15436.25,0,388,388,15436.25,6300,163275973,919981,702039,166,141,159,156,593,1,2048,1,1.15E+18,0,-1
168123,0,166,0,0,99,0,1,1,1868927.97,-159417.09,700000,-828345.06,-6376.68,0,0,600000,-1268927.97,-1268927.97,0,0,0,0,0,0,0,0,0,0,0,0,297079,1400,30,59360216,13766,10684,1012,484,224,234,697047,780137,4.24E+15,100,3.39,-1355,0,388,388,1355,5814,163279354,511567,780137,166,141,159,156,593,1,2048,1,1.15E+18,0,-1
453872,0,166,0,0,99,0,1,1,31388.64,-344891.91,380000,-376280.55,-13795.68,-13795.68,0,0,-31388.64,-31388.64,0,0,0,0,0,0,0,0,0,0,0,0,73444,324,1,59633670,13766,10684,1012,484,13156,2001,752623,432765,4.24E+15,10,11.88,-4750,0,388,388,4750,8041,163255008,563948,432765,166,141,159,156,599,1,2048,1,1.15E+18,0,-1
205513,0,166,0,0,99,0,1,1,0,-213811.82,250000,-213811.82,-8552.47,-8552.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,301461,766,0,59404107,13766,10684,1012,484,13158,2201,714065,411223,4.24E+15,10,2.5,-1000,0,388,388,1000,8699,163255019,527381,411223,166,141,159,156,599,1,2048,1,1.15E+18,0,-1
172466,0,166,0,0,99,0,1,1,0,-20820.09,700000,-20820.09,-2440.39,-2440.39,-1674.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,387627,551,0,59650996,13766,10684,1012,484,224,1201,969576,576424,4.24E+15,10,4.32,-1727.46,0,388,388,1727.46,5411,163255029,762496,576424,166,141,159,156,599,1,2048,1,1.15E+18,0,-1
314290,0,166,0,0,99,0,1,1,3800,0,50000,509.12,0,0,0,0,-3800,-3800,0,0,0,0,0,0,0,0,0,0,0,0,388574,597,2,59650936,13766,10684,850,614,266,202,971558,577702,4.24E+15,10,1.78,-710,0,388,388,710,5812,163255032,764271,577702,166,141,159,156,599,1,2048,1,1.15E+18,0,-1
110522,0,166,0,0,99,0,1,1,22400,-13263.96,700000,-35663.96,-530.56,-530.56,0,0,-22400,-22400,0,0,0,0,0,0,0,0,0,0,0,0,118944,440,1,59637608,13766,10684,1012,484,224,201,788015,453473,4.24E+15,10,23.58,-9429.92,0,388,388,9429.92,5912,163255044,595952,453473,166,141,159,156,599,1,2048,1,1.15E+18,0,-1
624509,0,166,0,0,99,0,1,1,8705.1,-12368.77,700000,-21073.87,-494.75,-494.75,0,0,-8705.1,-8705.1,0,0,0,0,0,0,0,0,0,0,0,0,346243,387,1,59644330,13766,10684,1012,484,224,201,878535,831847,4.24E+15,100,3.7,-1480,0,388,388,1480,5814,163279350,679655,702241,166,141,159,156,593,1,2048,1,1.15E+18,0,-1
118196,0,138,0,0,99,0,1,1,39962.12,-133957.92,250000,-173920.04,-5358.32,-5358.32,0,0,-39962.12,-39962.12,0,0,0,0,0,0,0,0,0,0,0,0,69632,1138,3,59620650,13766,10682,838,406,244,201,149067,863324,7.78E+15,100,149,-14200,0,388,388,14200,5533,163275574,86548,82542,138,141,159,156,593,1,2048,1,1.15E+18,0,-1
